PROC CODE,PROCEDURE DESCRIPTION
80194,QUINIDINE                          
80194,QUINIDINE                          
80195,ASSAY OF SIROLIMUS                 
80195,ASSAY OF SIROLIMUS                 
80195,ASSAY OF SIROLIMUS                 
80195,ASSAY OF SIROLIMUS                 
80195,ASSAY OF SIROLIMUS                 
80196,SALICYLATE                         
80196,SALICYLATE                         
80196,SALICYLATE                         
80196,SALICYLATE                         
80197,TACROLIMUS                         
80197,TACROLIMUS                         
80197,TACROLIMUS                         
80197,TACROLIMUS                         
80197,TACROLIMUS                         
80197,TACROLIMUS                         
80198,THEOPHYLLINE                       
80198,THEOPHYLLINE                       
80198,THEOPHYLLINE                       
80198,THEOPHYLLINE                       
80198,THEOPHYLLINE                       
80198,THEOPHYLLINE                       
80199,DRUG SCREEN QUANT TIAGABINE        
80199,DRUG SCREEN QUANT TIAGABINE        
80200,TOBRAMYCIN                         
80200,TOBRAMYCIN                         
80200,TOBRAMYCIN                         
80200,TOBRAMYCIN                         
80200,TOBRAMYCIN                         
80200,TOBRAMYCIN                         
80201,TOPIRAMATE                         
80201,TOPIRAMATE                         
80201,TOPIRAMATE                         
80201,TOPIRAMATE                         
80201,TOPIRAMATE                         
80202,VANCOMYCIN                         
80202,VANCOMYCIN                         
80202,VANCOMYCIN                         
80202,VANCOMYCIN                         
80202,VANCOMYCIN                         
80203,DRUG SCREEN QUANT ZONISAMIDE       
80203,DRUG SCREEN QUANT ZONISAMIDE       
80203,DRUG SCREEN QUANT ZONISAMIDE       
80203,DRUG SCREEN QUANT ZONISAMIDE       
80203,DRUG SCREEN QUANT ZONISAMIDE       
80204,DRUG ASSAY METHOTREXATE            
80210,DRUG ASSAY RUFINAMIDE              
80220,DRUG ASY HYDROXYCHLOROQUINE        
80230,DRUG ASSAY INFLIXIMAB              
80235,DRUG ASSAY LACOSAMIDE              
80280,DRUG ASSAY VEDOLIZUMAB             
80285,DRUG ASSAY VORICONAZOLE            
80299,QUANTITATIVE ASSAY DRUG            
80299,QUANTITATIVE ASSAY DRUG            
80299,QUANTITATIVE ASSAY DRUG            
80299,QUANTITATIVE ASSAY DRUG            
80300,DRUG SCREEN NON TLC DEVICES        
80301,DRUG SCREEN CLASS LIST A           
80302,DRUG SCREEN PRSMPTV 1 CLASS        
80303,DRUG SCREEN ONE/MULT CLASS         
80304,DRUG SCREEN ONE/MULT CLASS         
80305,DRUG TEST PRSMV DIR OPT OBS        
80305,DRUG TEST PRSMV DIR OPT OBS        
80306,DRUG TEST PRSMV INSTRMNT           
80306,DRUG TEST PRSMV INSTRMNT           
80306,DRUG TEST PRSMV INSTRMNT           
80307,DRUG TEST PRSMV CHEM ANLYZR        
80307,DRUG TEST PRSMV CHEM ANLYZR        
80307,DRUG TEST PRSMV CHEM ANLYZR        
80307,DRUG TEST PRSMV CHEM ANLYZR        
80320,DRUG SCREEN QUANTALCOHOLS          
80321,ALCOHOLS BIOMARKERS 1OR 2          
80322,ALCOHOLS BIOMARKERS 3/MORE         
80323,ALKALOIDS NOS                      
80324,DRUG SCREEN AMPHETAMINES 1/2       
80325,AMPHETAMINES 3OR 4                 
80326,AMPHETAMINES 5 OR MORE             
80327,ANABOLIC STEROID 1 OR 2            
80328,ANABOLIC STEROID 3 OR MORE         
80329,ANALGESICS NON-OPIOID 1 OR 2       
80330,ANALGESICS NON-OPIOID 3-5          
80331,ANALGESICS NON-OPIOID 6/MORE       
80332,ANTIDEPRESSANTS CLASS 1 OR 2       
80333,ANTIDEPRESSANTS CLASS 3-5          
80334,ANTIDEPRESSANTS CLASS 6/MORE       
80335,ANTIDEPRESSANT TRICYCLIC 1/2       
80335,ANTIDEPRESSANT TRICYCLIC 1/2       
80336,ANTIDEPRESSANT TRICYCLIC 3-5       
80337,TRICYCLIC & CYCLICALS 6/MORE       
80338,ANTIDEPRESSANT NOT SPECIFIED       
80339,ANTIEPILEPTICS NOS 1-3             
80339,ANTIEPILEPTICS NOS 1-3             
80340,ANTIEPILEPTICS NOS 4-6             
80341,ANTIEPILEPTICS NOS 7/MORE          
80342,ANTIPSYCHOTICS NOS 1-3             
80342,ANTIPSYCHOTICS NOS 1-3             
80343,ANTIPSYCHOTICS NOS 4-6             
80344,ANTIPSYCHOTICS NOS 7/MORE          
80345,DRUG SCREENING BARBITURATES        
80346,BENZODIAZEPINES1-12                
80347,BENZODIAZEPINES 13 OR MORE         
80348,DRUG SCREENING BUPRENORPHINE       
80349,CANNABINOIDS NATURAL               
80350,CANNABINOIDS SYNTHETIC 1-3         
80351,CANNABINOIDS SYNTHETIC 4-6         
80352,CANNABINOID SYNTHETIC 7/MORE       
80353,DRUG SCREENING COCAINE             
80354,DRUG SCREENING FENTANYL            
80355,GABAPENTIN NON-BLOOD               
80356,HEROIN METABOLITE                  
80357,KETAMINE AND NORKETAMINE           
80357,KETAMINE AND NORKETAMINE           
80358,DRUG SCREENING METHADONE           
80359,METHYLENEDIOXYAMPHETAMINES         
80360,METHYLPHENIDATE                    
80361,OPIATES 1 OR MORE                  
80362,OPIOIDS & OPIATE ANALOGS 1/2       
80363,OPIOIDS & OPIATE ANALOGS 3/4       
80364,OPIOID &OPIATE ANALOG 5/MORE       
80365,DRUG SCREENING OXYCODONE           
80366,DRUG SCREENING PREGABALIN          
80367,DRUG SCREENING PROPOXYPHENE        
80367,DRUG SCREENING PROPOXYPHENE        
80368,SEDATIVE HYPNOTICS                 
80369,SKELETAL MUSCLE RELAXANT 1/2       
80370,SKEL MUSC RELAXANT 3 OR MORE       
80371,STIMULANTS SYNTHETIC               
80371,STIMULANTS SYNTHETIC               
80372,DRUG SCREENING TAPENTADOL          
80373,DRUG SCREENING TRAMADOL            
80374,STEREOISOMER ANALYSIS              
80375,DRUG/SUBSTANCE NOS 1-3             
80375,DRUG/SUBSTANCE NOS 1-3             
80376,DRUG/SUBSTANCE NOS 4-6             
80377,DRUG/SUBSTANCE NOS 7/MORE          
80400,ACTH STIMULATION PANEL             
80400,ACTH STIMULATION PANEL             
80400,ACTH STIMULATION PANEL             
80400,ACTH STIMULATION PANEL             
80402,ACTH STIMULATION PANEL             
80402,ACTH STIMULATION PANEL             
80402,ACTH STIMULATION PANEL             
80406,ACTH STIMULATION PANEL             
80406,ACTH STIMULATION PANEL             
80406,ACTH STIMULATION PANEL             
80406,ACTH STIMULATION PANEL             
80406,ACTH STIMULATION PANEL             
80406,ACTH STIMULATION PANEL             
80408,ALDOSTERONE SUPPRESSION EVAL       
80408,ALDOSTERONE SUPPRESSION EVAL       
80408,ALDOSTERONE SUPPRESSION EVAL       
80410,CALCITONIN STIMUL PANEL            
80410,CALCITONIN STIMUL PANEL            
80410,CALCITONIN STIMUL PANEL            
80410,CALCITONIN STIMUL PANEL            
80410,CALCITONIN STIMUL PANEL            
80410,CALCITONIN STIMUL PANEL            
80412,CRH STIMULATION PANEL              
80412,CRH STIMULATION PANEL              
80412,CRH STIMULATION PANEL              
80414,TESTOSTERONE RESPONSE PANEL        
80414,TESTOSTERONE RESPONSE PANEL        
80414,TESTOSTERONE RESPONSE PANEL        
80415,TOT ESTRADIOL RESPONSE PANEL       
80415,TOT ESTRADIOL RESPONSE PANEL       
80415,TOT ESTRADIOL RESPONSE PANEL       
80416,RENIN STIMULATION PANEL            
80416,RENIN STIMULATION PANEL            
80416,RENIN STIMULATION PANEL            
80416,RENIN STIMULATION PANEL            
80417,RENIN STIMULATION PANEL            
80417,RENIN STIMULATION PANEL            
80417,RENIN STIMULATION PANEL            
80417,RENIN STIMULATION PANEL            
80417,RENIN STIMULATION PANEL            
80417,RENIN STIMULATION PANEL            
80418,PITUITARY EVALUATION PANEL         
80418,PITUITARY EVALUATION PANEL         
80418,PITUITARY EVALUATION PANEL         
80420,DEXAMETHASONE PANEL                
80420,DEXAMETHASONE PANEL                
80420,DEXAMETHASONE PANEL                
80422,GLUCAGON TOLERANCE PANEL           
80422,GLUCAGON TOLERANCE PANEL           
80422,GLUCAGON TOLERANCE PANEL           
80422,GLUCAGON TOLERANCE PANEL           
80422,GLUCAGON TOLERANCE PANEL           
80422,GLUCAGON TOLERANCE PANEL           
80422,GLUCAGON TOLERANCE PANEL           
80424,GLUCAGON TOLERANCE PANEL           
80424,GLUCAGON TOLERANCE PANEL           
80424,GLUCAGON TOLERANCE PANEL           
80426,GONADOTROPIN HORMONE PANEL         
80426,GONADOTROPIN HORMONE PANEL         
80426,GONADOTROPIN HORMONE PANEL         
80428,GROWTH HORMONE PANEL               
80428,GROWTH HORMONE PANEL               
80428,GROWTH HORMONE PANEL               
80428,GROWTH HORMONE PANEL               
80430,GROWTH HORMONE PANEL               
80430,GROWTH HORMONE PANEL               
80430,GROWTH HORMONE PANEL               
80432,INSULIN SUPPRESSION PANEL          
80432,INSULIN SUPPRESSION PANEL          
80432,INSULIN SUPPRESSION PANEL          
80434,INSULIN TOLERANCE PANEL            
80434,INSULIN TOLERANCE PANEL            
80434,INSULIN TOLERANCE PANEL            
80435,INSULIN TOLERANCE PANEL            
80435,INSULIN TOLERANCE PANEL            
80435,INSULIN TOLERANCE PANEL            
80436,METYRAPONE PANEL                   
80436,METYRAPONE PANEL                   
80436,METYRAPONE PANEL                   
80438,TRH STIMULATION PANEL              
80438,TRH STIMULATION PANEL              
80438,TRH STIMULATION PANEL              
80439,TRH STIMULATION PANEL              
80439,TRH STIMULATION PANEL              
80439,TRH STIMULATION PANEL              
80440,TRH STIMULATION PANEL              
80440,TRH STIMULATION PANEL              
80440,TRH STIMULATION PANEL              
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80500,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80502,LAB PATHOLOGY CONSULTATION         
80503,PATH CLIN CONSLTJ SF 5-20          
80503,PATH CLIN CONSLTJ SF 5-20          
80503,PATH CLIN CONSLTJ SF 5-20          
80503,PATH CLIN CONSLTJ SF 5-20          
80503,PATH CLIN CONSLTJ SF 5-20          
80503,PATH CLIN CONSLTJ SF 5-20          
80503,PATH CLIN CONSLTJ SF 5-20          
80503,PATH CLIN CONSLTJ SF 5-20          
80503,PATH CLIN CONSLTJ SF 5-20          
80503,PATH CLIN CONSLTJ SF 5-20          
80504,PATH CLIN CONSLTJ MOD 21-40        
80504,PATH CLIN CONSLTJ MOD 21-40        
80504,PATH CLIN CONSLTJ MOD 21-40        
80504,PATH CLIN CONSLTJ MOD 21-40        
80504,PATH CLIN CONSLTJ MOD 21-40        
80504,PATH CLIN CONSLTJ MOD 21-40        
80504,PATH CLIN CONSLTJ MOD 21-40        
80504,PATH CLIN CONSLTJ MOD 21-40        
80504,PATH CLIN CONSLTJ MOD 21-40        
80504,PATH CLIN CONSLTJ MOD 21-40        
80505,PATH CLIN CONSLTJ HIGH 41-60       
80505,PATH CLIN CONSLTJ HIGH 41-60       
